dispatching_base_number,date,active_vehicles,trips
1556,2023-03-29,78,262
1467,2023-11-06,56,420
1105,2023-10-08,120,467
1752,2023-01-29,112,488
1018,2023-01-06,107,349
1953,2023-04-06,85,377
1303,2023-10-26,76,118
1574,2023-01-17,189,416
1668,2023-07-15,72,135
1271,2023-03-01,158,220
1677,2023-10-03,58,423
1005,2023-12-01,57,450
1883,2023-05-29,73,247
1241,2023-08-11,105,216
1175,2023-09-05,109,482
1409,2023-10-16,179,146
1323,2023-10-04,56,322
1208,2023-12-15,193,150
1091,2023-06-27,100,489
1268,2023-12-14,189,424
1210,2023-10-28,157,460
1264,2023-09-23,106,151
1905,2023-12-20,164,327
1821,2023-06-19,200,185
1836,2023-03-04,121,455
1992,2023-07-05,51,253
1123,2023-04-06,90,114
1209,2023-12-26,158,123
1803,2023-01-16,137,266
1333,2023-06-18,121,128
1941,2023-07-16,89,250
1387,2023-11-29,105,283
1488,2023-05-03,136,291
1217,2023-03-01,76,320
1454,2023-03-02,73,174
1496,2023-08-04,147,225
1081,2023-04-09,74,371
1396,2023-01-14,141,310
1755,2023-06-03,138,389
1498,2023-04-05,117,449
1903,2023-05-03,61,192
1801,2023-07-10,167,187
1615,2023-12-19,187,189
1447,2023-11-28,81,140
1881,2023-08-13,146,412
1848,2023-03-09,70,295
1421,2023-03-25,191,417
1501,2023-11-04,125,449
1583,2023-12-22,142,223
1777,2023-08-11,197,354
1172,2023-10-04,99,398
1218,2023-01-20,67,173
1088,2023-01-26,61,218
1216,2023-08-21,108,336
1154,2023-06-16,124,426
1232,2023-01-04,70,230
1353,2023-11-23,109,335
1587,2023-04-19,75,230
1347,2023-12-19,147,441
1712,2023-05-28,121,104
1631,2023-11-27,166,338
1562,2023-12-09,143,247
1808,2023-08-19,91,446
1513,2023-10-26,144,379
1398,2023-06-24,140,180
1744,2023-10-10,103,137
1488,2023-12-11,118,326
1559,2023-07-03,68,276
1245,2023-04-24,93,400
1427,2023-03-30,186,253
1055,2023-10-21,112,427
1190,2023-03-20,91,317
1972,2023-05-06,168,453
1505,2023-11-19,147,228
1087,2023-03-31,119,333
1848,2023-11-19,192,254
1387,2023-12-04,106,201
1411,2023-04-30,133,296
1569,2023-08-01,64,347
1729,2023-12-05,108,154
1751,2023-08-28,58,221
1081,2023-10-04,130,295
1225,2023-09-06,152,392
1013,2023-08-26,118,283
1624,2023-10-21,66,394
1168,2023-06-02,104,251
1228,2023-01-22,195,458
1415,2023-10-10,130,251
1587,2023-11-30,104,111
1876,2023-09-23,177,437
1499,2023-08-24,151,302
1996,2023-03-06,167,240
1712,2023-03-09,86,104
1616,2023-10-15,117,389
1047,2023-09-19,85,451
1077,2023-03-03,113,498
1196,2023-09-08,193,481
1107,2023-12-01,187,125
1339,2023-08-20,117,410
1259,2023-08-24,199,481
1735,2023-07-19,159,354
1088,2023-07-09,199,246
1557,2023-02-20,152,497
1050,2023-10-06,142,217
1994,2023-03-14,106,410
1025,2023-03-11,85,280
1765,2023-02-03,180,212
1264,2023-06-19,176,425
1539,2023-08-15,73,197
1898,2023-05-01,62,417
1946,2023-02-24,78,228
1023,2023-01-11,89,447
1097,2023-07-10,90,486
1956,2023-02-19,158,469
1008,2023-09-04,66,492
1766,2023-11-29,148,437
1794,2023-08-05,147,448
1275,2023-01-13,169,170
1418,2023-10-10,185,421
1549,2023-11-26,114,149
1273,2023-06-30,191,421
1868,2023-12-17,52,430
1840,2023-06-07,79,120
1341,2023-11-14,187,258
1838,2023-11-22,118,325
1977,2023-05-15,137,117
1839,2023-06-17,78,396
1946,2023-08-07,125,286
1084,2023-03-04,161,474
1348,2023-09-09,90,167
1573,2023-09-04,166,146
1591,2023-09-10,50,251
1895,2023-11-20,117,267
1508,2023-09-04,178,482
1038,2023-06-15,95,312
1540,2023-03-21,179,189
1746,2023-08-30,77,202
1109,2023-06-24,126,167
1950,2023-08-27,179,376
1100,2023-09-18,100,287
1187,2023-03-10,89,371
1029,2023-04-15,145,356
1017,2023-11-07,91,239
1580,2023-10-30,188,184
1389,2023-01-12,185,231
1630,2023-02-15,50,346
1917,2023-09-28,132,251
1942,2023-04-11,175,482
1427,2023-06-12,54,273
1803,2023-06-22,78,158
1737,2023-07-15,142,339
1180,2023-10-03,128,138
1645,2023-02-15,111,172
1962,2023-03-08,64,486
1627,2023-11-19,111,215
1604,2023-10-11,195,446
1838,2023-03-06,70,470
1310,2023-10-23,71,445
1573,2023-05-09,174,303
1913,2023-10-06,67,385
1021,2023-10-28,186,287
1181,2023-06-14,82,146
1458,2023-12-14,82,302
1359,2023-03-15,171,107
1481,2023-12-07,190,235
1947,2023-09-01,92,374
1224,2023-08-24,117,163
1047,2023-01-25,185,332
1683,2023-02-18,158,288
1620,2023-03-21,104,444
1091,2023-01-12,188,483
1317,2023-06-27,101,444
1455,2023-04-14,129,234
1849,2023-12-03,152,399
1652,2023-09-14,145,295
1864,2023-03-08,162,426
1973,2023-11-20,182,290
1822,2023-09-22,165,155
1376,2023-10-09,80,445
1965,2023-04-27,113,219
1933,2023-07-24,107,341
1705,2023-03-07,66,112
1112,2023-04-22,136,417
1414,2023-10-15,55,387
1346,2023-06-03,200,267
1626,2023-06-20,191,412
1977,2023-08-20,108,213
1607,2023-12-25,200,431
1853,2023-12-31,106,132
1482,2023-04-05,51,425
1971,2023-10-21,68,337
1019,2023-03-28,65,458
1259,2023-11-17,108,254
1383,2023-10-29,67,432
1267,2023-09-13,58,309
1637,2023-09-28,134,159
1622,2023-05-30,68,171
1465,2023-03-27,181,123
1361,2023-06-18,110,119
1934,2023-03-26,121,255
1879,2023-05-10,174,352
1402,2023-12-04,104,159
1561,2023-08-14,188,149
1601,2023-10-15,83,220
1322,2024-01-02,196,375
1486,2023-07-05,197,169
1036,2023-02-15,171,298
1478,2023-12-18,112,332
1580,2023-11-05,171,289
1860,2023-03-10,154,443
1302,2023-12-29,98,480
1118,2023-04-11,74,456
1278,2023-07-31,74,376
1917,2023-09-09,160,314
1239,2023-11-09,140,400
